Explained node,Nodes with nonzero weights,Node weights,Edges with nonzero weights,Edge weights
13,"[13, 153, 1158, 1353, 1437, 1881, 2171, 2179, 2417, 2686, 2835, 2910, 3282]","[0.7412588000297546, 0.2803693115711212, 0.2919497787952423, 0.7288311719894409, 0.2561323046684265, 0.3113346993923187, 0.717083752155304, 0.2571776211261749, 0.2633538544178009, 0.24662534892559052, 0.2792448401451111, 0.3253808319568634, 0.7347574234008789]","[19, 20, 21, 22, 381, 2309, 2610, 2903, 3829, 3830, 4534, 4554, 5189, 5195, 5665, 5870, 5943, 6430, 6431]","[0.7795222401618958, 0.7847328782081604, 0.7702239751815796, 0.76982581615448, 0.7866889834403992, 0.7872750759124756, 0.7513384222984314, 0.78956538438797, 0.7622655630111694, 0.7771182656288147, 0.754210352897644, 0.7785830497741699, 0.7777237296104431, 0.7874588966369629, 0.7847098708152771, 0.7708509564399719, 0.7735500931739807, 0.7587355375289917, 0.7855157852172852]"
14,"[14, 28, 63, 74, 83, 123, 141, 154, 157, 160, 166, 194, 339, 400, 550, 703, 850, 974, 1014, 1015, 1072, 1132, 1203, 1209, 1274, 1362, 1408, 1437, 1502, 1510, 1511, 1560, 1660, 1671, 1783, 1821, 1822, 1833, 1901, 1902, 1991, 1995, 2044, 2067, 2118, 2300, 2316, 2375, 2476, 2580, 2610, 2686, 2687, 2768, 3060, 3152, 3202, 3206, 3305, 3514]","[0.27881157398223877, 0.26558083295822144, 0.2858301103115082, 0.25248685479164124, 0.7543997168540955, 0.28009408712387085, 0.26822444796562195, 0.2582620084285736, 0.22294208407402039, 0.2599739134311676, 0.2975389361381531, 0.25762683153152466, 0.29763102531433105, 0.2805531919002533, 0.2626786530017853, 0.2607887387275696, 0.2540695369243622, 0.25295209884643555, 0.300620436668396, 0.2989555299282074, 0.28826209902763367, 0.5558223724365234, 0.2804368734359741, 0.2575605511665344, 0.28112760186195374, 0.24472802877426147, 0.2899569272994995, 0.27878978848457336, 0.2763279974460602, 0.31195077300071716, 0.2587468922138214, 0.25205540657043457, 0.29366767406463623, 0.3095649480819702, 0.29419270157814026, 0.2823965549468994, 0.264570027589798, 0.30042219161987305, 0.261613667011261, 0.2834084630012512, 0.27686992287635803, 0.2890128493309021, 0.25231337547302246, 0.27741026878356934, 0.28649666905403137, 0.28017792105674744, 0.276905357837677, 0.2923709452152252, 0.25622519850730896, 0.2703096866607666, 0.2711140513420105, 0.2836195230484009, 0.2815781831741333, 0.31347939372062683, 0.24865956604480743, 0.26299864053726196, 0.2744857966899872, 0.29948365688323975, 0.7393505573272705, 0.29416072368621826]","[23, 24, 25, 26, 27, 28, 50, 134, 170, 193, 285, 337, 386, 405, 424, 452, 525, 867, 1011, 1304, 1542, 1755, 1923, 2048, 2049, 2052, 2061, 2200, 2283, 2384, 2399, 2486, 2646, 2831, 2887, 3105, 3122, 3124, 3237, 3351, 3371, 3580, 3689, 3695, 3729, 3862, 3867, 4095, 4100, 4237, 4287, 4431, 4893, 4965, 5099, 5340, 5498, 5547, 5658, 5669, 5786, 6124, 6246, 6252, 6332, 6344, 6459, 6609]","[0.2399016171693802, 0.24058471620082855, 0.23631075024604797, 0.2366565614938736, 0.2361358255147934, 0.2445184737443924, 0.23574505746364594, 0.23457205295562744, 0.22682516276836395, 0.7639162540435791, 0.23689799010753632, 0.23195166885852814, 0.23523114621639252, 0.23835952579975128, 0.2342429757118225, 0.233018159866333, 0.23635490238666534, 0.22517670691013336, 0.23792609572410583, 0.23357640206813812, 0.23078268766403198, 0.7386892437934875, 0.2319735288619995, 0.2395978718996048, 0.7604950666427612, 0.2405475229024887, 0.7859730124473572, 0.7580358386039734, 0.7311738729476929, 0.24072203040122986, 0.23664240539073944, 0.2364254593849182, 0.23964034020900726, 0.23594950139522552, 0.23203368484973907, 0.23796935379505157, 0.23648659884929657, 0.23130515217781067, 0.23704145848751068, 0.23488831520080566, 0.2348649650812149, 0.23596040904521942, 0.23422062397003174, 0.23319298028945923, 0.22975079715251923, 0.23577874898910522, 0.23424921929836273, 0.23286381363868713, 0.23531313240528107, 0.23925413191318512, 0.23438337445259094, 0.7783867120742798, 0.23961426317691803, 0.23423004150390625, 0.23529545962810516, 0.2345278263092041, 0.2302861362695694, 0.23964589834213257, 0.23536056280136108, 0.22901929914951324, 0.23609738051891327, 0.23594751954078674, 0.23363733291625977, 0.23545023798942566, 0.23465850949287415, 0.23973068594932556, 0.7345283627510071, 0.23817215859889984]"
15,[15],[0.29057079553604126],[],[]
16,"[16, 70, 112, 137, 149, 156, 196, 197, 227, 232, 261, 324, 487, 974, 975, 1009, 1010, 1014, 1046, 1068, 1088, 1256, 1362, 1477, 1533, 1560, 1587, 1611, 1665, 1672, 1673, 1676, 1809, 1816, 1817, 1830, 2133, 2236, 2295, 2296, 2335, 2414, 2420, 2830, 2881, 2961, 3099, 3356, 3360, 3834]","[0.7654661536216736, 0.281386137008667, 0.2828025221824646, 0.2938691973686218, 0.2827551066875458, 0.27768781781196594, 0.3590135872364044, 0.2621283233165741, 0.2732594907283783, 0.3568282425403595, 0.29127249121665955, 0.27405449748039246, 0.32940971851348877, 0.2608766555786133, 0.3046083152294159, 0.3118688464164734, 0.24995259940624237, 0.2572219669818878, 0.32783937454223633, 0.3289984166622162, 0.2747960388660431, 0.26226821541786194, 0.2507728934288025, 0.2872283160686493, 0.28859230875968933, 0.31815052032470703, 0.3049021065235138, 0.26804712414741516, 0.3008514642715454, 0.7402952909469604, 0.7182192802429199, 0.27362513542175293, 0.2689133286476135, 0.7535689473152161, 0.7398998141288757, 0.27834513783454895, 0.3952222466468811, 0.27768054604530334, 0.2548295855522156, 0.2638395130634308, 0.2811519205570221, 0.274981290102005, 0.31391263008117676, 0.2642149031162262, 0.30587342381477356, 0.27068957686424255, 0.6954960823059082, 0.2952541708946228, 0.2868579626083374, 0.25956255197525024]","[29, 30, 31, 32, 33, 152, 261, 323, 363, 364, 366, 396, 398, 535, 539, 540, 541, 602, 612, 613, 618, 619, 620, 686, 825, 826, 832, 838, 1186, 1943, 1947, 2012, 2015, 2051, 2151, 2189, 2190, 2191, 2216, 2472, 2656, 3021, 3170, 3221, 3224, 3225, 3245, 3246, 3289, 3304, 3362, 3375, 3380, 3381, 3382, 3383, 3388, 3389, 3392, 3395, 3396, 3399, 3648, 3667, 3668, 3671, 3675, 3676, 3678, 3679, 3680, 3681, 3682, 3714, 4450, 4683, 4856, 4861, 5022, 5181, 5205, 5865, 5907, 6034, 6176, 6177, 6178, 6504, 6508, 6905]","[0.2379007786512375, 0.23205874860286713, 0.23336857557296753, 0.2351548969745636, 0.7767439484596252, 0.23597007989883423, 0.23710381984710693, 0.2393149733543396, 0.23261521756649017, 0.23207029700279236, 0.23269401490688324, 0.23089496791362762, 0.23811082541942596, 0.7607605457305908, 0.23828813433647156, 0.23071588575839996, 0.23661090433597565, 0.23819130659103394, 0.2355513721704483, 0.22873711585998535, 0.22941529750823975, 0.23804695904254913, 0.7663026452064514, 0.24071882665157318, 0.2411482185125351, 0.2436005175113678, 0.2420913279056549, 0.24411654472351074, 0.23980510234832764, 0.24009056389331818, 0.2447836995124817, 0.775489091873169, 0.2311362624168396, 0.24052588641643524, 0.7721450924873352, 0.24445442855358124, 0.23078209161758423, 0.23171250522136688, 0.23812152445316315, 0.23290219902992249, 0.2397860735654831, 0.23852121829986572, 0.23927117884159088, 0.23614375293254852, 0.23203717172145844, 0.2358536273241043, 0.6900984048843384, 0.23021380603313446, 0.23132219910621643, 0.2396298497915268, 0.23725715279579163, 0.2435133457183838, 0.23220771551132202, 0.24319322407245636, 0.748428225517273, 0.7790540456771851, 0.2364620417356491, 0.23774269223213196, 0.23945030570030212, 0.7336930632591248, 0.7822555303573608, 0.2319747358560562, 0.23634888231754303, 0.24313227832317352, 0.7847596406936646, 0.7756938934326172, 0.7222393155097961, 0.7712761759757996, 0.7459038496017456, 0.24181777238845825, 0.7794772386550903, 0.7798394560813904, 0.2376338541507721, 0.23271889984607697, 0.755073606967926, 0.24061864614486694, 0.23333321511745453, 0.233899787068367, 0.7697606682777405, 0.22726766765117645, 0.27462977170944214, 0.23258541524410248, 0.7752548456192017, 0.244246706366539, 0.7861346006393433, 0.7769116759300232, 0.23926036059856415, 0.2388065755367279, 0.23516425490379333, 0.23494859039783478]"
17,[17],[0.5177754759788513],[],[]
18,[18],[0.3100138008594513],[],[]
19,"[19, 742, 1160]","[0.28555333614349365, 0.353899210691452, 0.29926812648773193]","[34, 35, 1608, 2312]","[0.7811892032623291, 0.7815303802490234, 0.7366141676902771, 0.7387990951538086]"
20,"[20, 64, 99, 123, 146, 161, 164, 621, 1137, 1257, 1362, 1363, 1415, 1493, 1495, 1498, 1722, 1749, 1772, 1775, 1836, 1993, 2310, 2896, 3367, 3779, 3781, 3802]","[0.32568877935409546, 0.27869269251823425, 0.2631608545780182, 0.273207426071167, 0.278576135635376, 0.2913438677787781, 0.745171844959259, 0.7463983297348022, 0.28506606817245483, 0.28526633977890015, 0.27583006024360657, 0.26423680782318115, 0.3149128258228302, 0.2845917344093323, 0.26543623208999634, 0.24764075875282288, 0.7449084520339966, 0.2648026645183563, 0.30023977160453796, 0.2965174615383148, 0.2846736013889313, 0.2861906588077545, 0.2965702712535858, 0.28136855363845825, 0.26702314615249634, 0.31582412123680115, 0.27190878987312317, 0.3009936809539795]","[36, 37, 38, 39, 143, 144, 239, 290, 309, 351, 435, 446, 447, 1434, 1435, 2290, 2475, 2665, 2687, 2840, 3067, 3071, 3074, 3094, 3101, 3461, 3462, 3526, 3551, 3556, 3738, 4097, 4946, 5933, 6511, 6856, 6859, 6875]","[0.7770927548408508, 0.22279766201972961, 0.22187350690364838, 0.21693438291549683, 0.7699040174484253, 0.22189193964004517, 0.22613543272018433, 0.22308093309402466, 0.22453822195529938, 0.2616405189037323, 0.2228666990995407, 0.7911473512649536, 0.7475650310516357, 0.7821423411369324, 0.7571773529052734, 0.22877636551856995, 0.21987538039684296, 0.22874459624290466, 0.22878682613372803, 0.24219880998134613, 0.21626591682434082, 0.760815441608429, 0.2192898392677307, 0.22043991088867188, 0.2259029597043991, 0.7432116866111755, 0.7791919112205505, 0.790481448173523, 0.222194105386734, 0.22535833716392517, 0.22752965986728668, 0.22529299557209015, 0.23198600113391876, 0.22612892091274261, 0.22890882194042206, 0.7811299562454224, 0.22968336939811707, 0.7914987802505493]"
21,"[21, 3731]","[0.6722983717918396, 0.6201937794685364]","[40, 6808]","[0.7715226411819458, 0.741481602191925]"
22,[22],[0.35660991072654724],[],[]
23,"[23, 123, 324, 998, 1118, 2823]","[0.6358708739280701, 0.2874417304992676, 0.27979975938796997, 0.3531535267829895, 0.3092333674430847, 0.7325103282928467]","[41, 42, 286, 817, 2004, 2246, 5860]","[0.7767331600189209, 0.7872349619865417, 0.7797499895095825, 0.7790973782539368, 0.760702908039093, 0.7810883522033691, 0.7593889236450195]"
24,"[24, 42, 161, 163, 515, 550, 895, 1062, 1063, 1843, 1888, 2375, 2556, 3335, 3593]","[0.7162115573883057, 0.31506338715553284, 0.307206928730011, 0.2678578495979309, 0.26320990920066833, 0.3105553686618805, 0.262798011302948, 0.26937898993492126, 0.2684709429740906, 0.29460713267326355, 0.3271106481552124, 0.3024519979953766, 0.2804289758205414, 0.7439236044883728, 0.2820649743080139]","[43, 44, 82, 83, 440, 442, 1213, 1305, 1829, 2171, 2176, 3756, 3848, 5098, 5455, 6486, 6487, 6683]","[0.7774159908294678, 0.7553476095199585, 0.7608937621116638, 0.7739717960357666, 0.7879536151885986, 0.7872340083122253, 0.21401821076869965, 0.2151881605386734, 0.7890967130661011, 0.7864200472831726, 0.7912782430648804, 0.2244163304567337, 0.7718772292137146, 0.7899855971336365, 0.21186023950576782, 0.7471837401390076, 0.7753534317016602, 0.7972282767295837]"
25,"[25, 1344]","[0.2505234479904175, 0.2684316635131836]","[45, 2599]","[0.7848883271217346, 0.7694016695022583]"
26,"[26, 1081]","[0.46474745869636536, 0.27662593126296997]","[46, 2209]","[0.7804864048957825, 0.7508441209793091]"
27,[27],[0.3892694115638733],[],[]
28,"[14, 28, 63, 123, 141, 154, 157, 160, 166, 194, 400, 550, 703, 974, 1014, 1015, 1209, 1274, 1297, 1362, 1392, 1396, 1432, 1437, 1502, 1510, 1511, 1512, 1660, 1671, 1783, 1806, 1821, 1822, 1901, 1902, 1991, 1995, 2044, 2067, 2101, 2249, 2316, 2401, 2476, 2580, 2610, 2686, 2687, 2696, 2768, 3060, 3152, 3202, 3206, 3514]","[0.27789247035980225, 0.7212470173835754, 0.2586730718612671, 0.2756345272064209, 0.25260353088378906, 0.2746935784816742, 0.2875005900859833, 0.2615927457809448, 0.27283719182014465, 0.27619099617004395, 0.2726648151874542, 0.2817683815956116, 0.2694414556026459, 0.2548883557319641, 0.2753194272518158, 0.24879030883312225, 0.28826987743377686, 0.2444997876882553, 0.728314220905304, 0.2674006521701813, 0.3241886496543884, 0.32438594102859497, 0.7206241488456726, 0.27722859382629395, 0.31265968084335327, 0.2525676190853119, 0.25380802154541016, 0.27221906185150146, 0.29793497920036316, 0.29074645042419434, 0.2882101833820343, 0.30926546454429626, 0.2943893373012543, 0.2752884030342102, 0.27138257026672363, 0.26716387271881104, 0.2786634564399719, 0.2837487459182739, 0.2769467532634735, 0.2780551612377167, 0.25816845893859863, 0.5461606383323669, 0.7510764002799988, 0.7349526286125183, 0.2818687856197357, 0.2738456428050995, 0.2445373684167862, 0.2615649104118347, 0.23891820013523102, 0.27122196555137634, 0.2406427562236786, 0.2735840976238251, 0.27829208970069885, 0.22964634001255035, 0.29284465312957764, 0.23271363973617554]","[26, 47, 48, 49, 50, 51, 134, 285, 337, 386, 405, 424, 452, 525, 1011, 1304, 1542, 1923, 2048, 2077, 2093, 2399, 2486, 2515, 2518, 2519, 2646, 2752, 2769, 2879, 2881, 2882, 2887, 3105, 3122, 3124, 3126, 3351, 3371, 3580, 3642, 3689, 3695, 3862, 3867, 4095, 4100, 4237, 4287, 4410, 4734, 4961, 4962, 4963, 4964, 4965, 5136, 5137, 5138, 5139, 5340, 5498, 5547, 5658, 5669, 5677, 5786, 6124, 6246, 6332, 6344, 6609]","[0.23989754915237427, 0.7823655009269714, 0.7671273350715637, 0.7619703412055969, 0.22872324287891388, 0.7706561088562012, 0.23538200557231903, 0.2341703623533249, 0.2380531132221222, 0.23701973259449005, 0.23571838438510895, 0.23770102858543396, 0.23729607462882996, 0.23711512982845306, 0.23271611332893372, 0.23859621584415436, 0.23487679660320282, 0.23485134541988373, 0.23732717335224152, 0.25459665060043335, 0.23484687507152557, 0.23143500089645386, 0.23814134299755096, 0.23017995059490204, 0.7713909149169922, 0.7546982169151306, 0.2370116412639618, 0.7556073665618896, 0.7737800478935242, 0.778151273727417, 0.7429140210151672, 0.7744177579879761, 0.23361855745315552, 0.2374977022409439, 0.23777735233306885, 0.24353466928005219, 0.2532891035079956, 0.23888836801052094, 0.2330230474472046, 0.23887968063354492, 0.7625903487205505, 0.23518355190753937, 0.23556140065193176, 0.2360803186893463, 0.2318824678659439, 0.23786219954490662, 0.23884791135787964, 0.23537683486938477, 0.2372298240661621, 0.222226083278656, 0.7556445598602295, 0.7328550219535828, 0.7672703266143799, 0.7623203992843628, 0.7705085277557373, 0.2332608997821808, 0.7359920144081116, 0.7659074068069458, 0.7715954184532166, 0.7614495754241943, 0.2382337898015976, 0.23848474025726318, 0.239996075630188, 0.23408007621765137, 0.23641936480998993, 0.24398337304592133, 0.2320428490638733, 0.23173998296260834, 0.23696309328079224, 0.23573167622089386, 0.23267051577568054, 0.23542000353336334]"
29,"[29, 1162, 1537, 2183, 2811]","[0.4662685692310333, 0.2976398766040802, 0.2855690121650696, 0.2668628394603729, 0.2810352146625519]","[52, 53, 54, 2313, 3187, 4575, 5842]","[0.7854357957839966, 0.7694629430770874, 0.7777649760246277, 0.7398078441619873, 0.7437267899513245, 0.7759742736816406, 0.793592631816864]"
30,"[30, 168, 215, 1571, 1573, 1574, 1723]","[0.28308165073394775, 0.2918034791946411, 0.38043615221977234, 0.2647601068019867, 0.26343923807144165, 0.25842148065567017, 0.2689139246940613]","[55, 56, 461, 586, 3267, 3271, 3273, 3466]","[0.7923645377159119, 0.7852523922920227, 0.22059549391269684, 0.7409576177597046, 0.21070292592048645, 0.7816488146781921, 0.21467208862304688, 0.21785181760787964]"
31,[31],[0.3482549488544464],[],[]
32,"[32, 422, 1708, 1709, 2662, 3562]","[0.30413392186164856, 0.27446216344833374, 0.27978602051734924, 0.7312694191932678, 0.3063467741012573, 0.26037827134132385]","[57, 58, 1071, 1072, 3428, 3431, 3433, 3436, 5614, 6654, 6655]","[0.7854028940200806, 0.7852873206138611, 0.7852189540863037, 0.7884098291397095, 0.7875722050666809, 0.774240255355835, 0.7819901704788208, 0.7377232313156128, 0.7912096977233887, 0.7790045738220215, 0.7933892607688904]"
33,[33],[0.30801647901535034],[],[]
34,"[34, 2026]","[0.2624979317188263, 0.6930304169654846]","[59, 4208]","[0.7791276574134827, 0.7480154633522034]"
35,"[35, 1463, 2438]","[0.7125892639160156, 0.6185405254364014, 0.2735837697982788]","[60, 2977, 5265]","[0.7677494883537292, 0.7431267499923706, 0.775502622127533]"
36,"[36, 94, 241, 248, 251, 318, 329, 383, 384, 414, 482, 602, 623, 729, 758, 797, 959, 1042, 1076, 1204, 1246, 1383, 1488, 1983, 2295, 2666, 2935, 2998, 3218, 3268, 3327, 3471, 3609, 3685]","[0.7052754759788513, 0.2654128670692444, 0.28853610157966614, 0.2581067681312561, 0.29245173931121826, 0.28119364380836487, 0.2660115957260132, 0.25953933596611023, 0.2669562101364136, 0.2851462662220001, 0.256899356842041, 0.2775913178920746, 0.2582942545413971, 0.2929954528808594, 0.29548394680023193, 0.2582370638847351, 0.28386905789375305, 0.2717120349407196, 0.28003624081611633, 0.28737872838974, 0.3018309473991394, 0.27582257986068726, 0.2971779406070709, 0.7635133266448975, 0.2729363739490509, 0.2900133728981018, 0.2937500476837158, 0.24375146627426147, 0.26278653740882874, 0.3288508951663971, 0.25435110926628113, 0.28000408411026, 0.2588009536266327, 0.31224870681762695]","[61, 62, 63, 64, 65, 230, 641, 660, 675, 797, 855, 951, 966, 1052, 1178, 1404, 1438, 1592, 1631, 1697, 1891, 2125, 2205, 2386, 2458, 2734, 3054, 4071, 4859, 5619, 5989, 6076, 6355, 6415, 6481, 6557, 6700, 6758]","[0.21972441673278809, 0.7714318633079529, 0.7472004890441895, 0.2237168252468109, 0.767916738986969, 0.22799843549728394, 0.227142795920372, 0.7926868200302124, 0.27976611256599426, 0.22790321707725525, 0.22164802253246307, 0.22436660528182983, 0.22446732223033905, 0.2241104394197464, 0.22263866662979126, 0.223319873213768, 0.21949037909507751, 0.229634091258049, 0.25654569268226624, 0.2196437269449234, 0.2213570773601532, 0.2207965850830078, 0.21991001069545746, 0.22942747175693512, 0.2227560579776764, 0.2289300262928009, 0.22437213361263275, 0.7302419543266296, 0.22476467490196228, 0.21836139261722565, 0.763028621673584, 0.22015273571014404, 0.22586539387702942, 0.7863360047340393, 0.2231319397687912, 0.22295427322387695, 0.22444768249988556, 0.7568161487579346]"
37,[37],[0.6597684621810913],[],[]
38,"[38, 1962, 1963, 2139, 2523, 2617, 3490, 3985]","[0.7361605763435364, 0.284768670797348, 0.7262693047523499, 0.2791849672794342, 0.2839758098125458, 0.3169757127761841, 0.27874788641929626, 0.26701581478118896]","[66, 4013, 4018, 4457, 5417, 5554, 6582, 7017]","[0.7851413488388062, 0.7697032690048218, 0.7337860465049744, 0.7790955901145935, 0.7811334133148193, 0.21421867609024048, 0.7836986780166626, 0.7670420408248901]"
39,[39],[0.279891699552536],[],[]
