Explained node,Nodes with nonzero weights,Node weights,Edges with nonzero weights,Edge weights
10,[10],[0.6631258130073547],[],[]
11,"[11, 557, 585, 803, 835, 1010, 1210]","[0.3299564719200134, 0.29843807220458984, 0.24912887811660767, 0.3683694303035736, 0.2889595031738281, 0.2626419961452484, 0.2722187638282776]","[14, 15, 1318, 1319, 1376, 1700, 1701, 1742, 2016, 2407]","[0.7797186970710754, 0.7831255793571472, 0.7456560134887695, 0.7835372686386108, 0.22723150253295898, 0.7402012348175049, 0.7766770124435425, 0.23765888810157776, 0.7917155623435974, 0.22394846379756927]"
12,"[12, 99, 114, 123, 141, 146, 158, 249, 550, 998, 1015, 1362, 1437, 1493, 1783, 1821, 1822, 1829, 2248, 2270, 2582, 2623, 2624, 2686, 3131, 3152]","[0.7281115651130676, 0.2886824309825897, 0.24972975254058838, 0.2864452004432678, 0.29646286368370056, 0.2399807572364807, 0.25701913237571716, 0.27414166927337646, 0.27534452080726624, 0.3117665946483612, 0.30075809359550476, 0.2827494740486145, 0.2835463583469391, 0.2606799602508545, 0.2715470790863037, 0.2860185503959656, 0.24882440268993378, 0.7286678552627563, 0.26803869009017944, 0.2884743809700012, 0.2852098345756531, 0.2665732502937317, 0.27683255076408386, 0.2461138367652893, 0.24850846827030182, 0.31905966997146606]","[16, 17, 18, 243, 269, 296, 297, 298, 328, 329, 330, 353, 413, 666, 669, 1291, 1303, 2003, 2057, 2090, 2651, 2894, 3072, 3574, 3575, 3686, 3687, 3691, 3692, 3711, 3712, 3713, 4722, 4723, 4784, 5499, 5556, 5558, 5662, 6217, 6254, 6255]","[0.22271117568016052, 0.7851161360740662, 0.7505466938018799, 0.22574102878570557, 0.22559042274951935, 0.22838449478149414, 0.25049418210983276, 0.2266276478767395, 0.22695393860340118, 0.2629583179950714, 0.2237691581249237, 0.22836852073669434, 0.22387535870075226, 0.22599834203720093, 0.22894519567489624, 0.22738157212734222, 0.22374743223190308, 0.2247200906276703, 0.22118543088436127, 0.22803892195224762, 0.2287859320640564, 0.22708497941493988, 0.22929294407367706, 0.22681623697280884, 0.22980253398418427, 0.22482945024967194, 0.22372280061244965, 0.22862350940704346, 0.2291492521762848, 0.7469191551208496, 0.21801380813121796, 0.7817524671554565, 0.22846639156341553, 0.23252223432064056, 0.22379976511001587, 0.22925156354904175, 0.22631119191646576, 0.23548370599746704, 0.2259286493062973, 0.2256600260734558, 0.22737905383110046, 0.22722576558589935]"
13,"[13, 153, 1158, 1353, 1437, 1881, 2171, 2179, 2417, 2686, 2835, 2910, 3282]","[0.7696231603622437, 0.30919525027275085, 0.25964581966400146, 0.7411744594573975, 0.27899739146232605, 0.2757032811641693, 0.3984955847263336, 0.29076099395751953, 0.31167954206466675, 0.2392169088125229, 0.34042856097221375, 0.262892484664917, 0.7745702266693115]","[19, 20, 21, 22, 381, 2309, 2610, 2903, 3829, 3830, 4534, 4554, 5189, 5195, 5665, 5870, 5943, 6430, 6431]","[0.7643483877182007, 0.7714274525642395, 0.7739492058753967, 0.7436539530754089, 0.2191927134990692, 0.7669339776039124, 0.7746200561523438, 0.2195286750793457, 0.243341326713562, 0.7859662771224976, 0.2957113981246948, 0.778705894947052, 0.7717073559761047, 0.7899631261825562, 0.21477486193180084, 0.7521007061004639, 0.7779896259307861, 0.7856629490852356, 0.7750460505485535]"
14,"[14, 28, 63, 74, 83, 123, 141, 154, 157, 160, 166, 194, 339, 400, 550, 703, 850, 974, 1014, 1015, 1072, 1132, 1203, 1209, 1274, 1362, 1408, 1437, 1502, 1510, 1511, 1560, 1660, 1671, 1783, 1821, 1822, 1833, 1901, 1902, 1991, 1995, 2044, 2067, 2118, 2300, 2316, 2375, 2476, 2580, 2610, 2686, 2687, 2768, 3060, 3152, 3202, 3206, 3305, 3514]","[0.2673686742782593, 0.2287653088569641, 0.26967763900756836, 0.33334091305732727, 0.7748604416847229, 0.2795296311378479, 0.27275899052619934, 0.2666701674461365, 0.2474006861448288, 0.27800849080085754, 0.2961842715740204, 0.26684585213661194, 0.24245652556419373, 0.27100056409835815, 0.2766844630241394, 0.2540305554866791, 0.2931128144264221, 0.22555778920650482, 0.27546972036361694, 0.27471834421157837, 0.6881892681121826, 0.755568265914917, 0.2856447994709015, 0.27223870158195496, 0.29068976640701294, 0.27551159262657166, 0.2799111008644104, 0.27541834115982056, 0.28051501512527466, 0.2656274437904358, 0.2827357351779938, 0.24625131487846375, 0.27257516980171204, 0.2800617516040802, 0.24360929429531097, 0.3061892092227936, 0.2720862627029419, 0.28220486640930176, 0.28141409158706665, 0.28624922037124634, 0.29748016595840454, 0.2730984091758728, 0.25223228335380554, 0.24173635244369507, 0.27206337451934814, 0.26661357283592224, 0.29409632086753845, 0.28674694895744324, 0.2453186959028244, 0.2993832230567932, 0.2660757303237915, 0.28325915336608887, 0.28204038739204407, 0.2625628411769867, 0.25494417548179626, 0.26522502303123474, 0.30277618765830994, 0.2573131024837494, 0.7171270251274109, 0.26254239678382874]","[23, 24, 25, 26, 27, 28, 50, 134, 170, 193, 285, 337, 386, 405, 424, 452, 525, 867, 1011, 1304, 1542, 1755, 1923, 2048, 2049, 2052, 2061, 2200, 2283, 2384, 2399, 2486, 2646, 2831, 2887, 3105, 3122, 3124, 3237, 3351, 3371, 3580, 3689, 3695, 3729, 3862, 3867, 4095, 4100, 4237, 4287, 4431, 4893, 4965, 5099, 5340, 5498, 5547, 5658, 5669, 5786, 6124, 6246, 6252, 6332, 6344, 6459, 6609]","[0.23441645503044128, 0.23930874466896057, 0.23467621207237244, 0.2330770194530487, 0.23572468757629395, 0.2345982939004898, 0.22943274676799774, 0.23477014899253845, 0.7725632190704346, 0.7526448369026184, 0.23486840724945068, 0.23303616046905518, 0.23713551461696625, 0.23271110653877258, 0.23000448942184448, 0.23573432862758636, 0.2352316677570343, 0.24301066994667053, 0.2347768247127533, 0.23347584903240204, 0.23601989448070526, 0.7395200133323669, 0.23404014110565186, 0.23462963104248047, 0.738013744354248, 0.23781539499759674, 0.2537532150745392, 0.7634692192077637, 0.7293855547904968, 0.2415066510438919, 0.23680460453033447, 0.23536446690559387, 0.24223248660564423, 0.2414942979812622, 0.23495811223983765, 0.23665949702262878, 0.23484347760677338, 0.23777645826339722, 0.23735411465168, 0.23414184153079987, 0.2348548322916031, 0.23872493207454681, 0.23268833756446838, 0.23814056813716888, 0.23355640470981598, 0.23354631662368774, 0.23582886159420013, 0.23605290055274963, 0.23362036049365997, 0.2360653579235077, 0.23027493059635162, 0.7564383745193481, 0.2367611676454544, 0.23136810958385468, 0.24794457852840424, 0.23850445449352264, 0.23650018870830536, 0.23370152711868286, 0.23529152572155, 0.23759976029396057, 0.23729462921619415, 0.23662440478801727, 0.2323286235332489, 0.23434780538082123, 0.23588493466377258, 0.24008069932460785, 0.7302613258361816, 0.2414952516555786]"
15,[15],[0.3060983419418335],[],[]
16,"[16, 70, 112, 137, 149, 156, 196, 197, 227, 232, 261, 324, 487, 974, 975, 1009, 1010, 1014, 1046, 1068, 1088, 1256, 1362, 1477, 1533, 1560, 1587, 1611, 1665, 1672, 1673, 1676, 1809, 1816, 1817, 1830, 2133, 2236, 2295, 2296, 2335, 2414, 2420, 2830, 2881, 2961, 3099, 3356, 3360, 3834]","[0.723102867603302, 0.3048487901687622, 0.265114426612854, 0.2803267538547516, 0.2550005614757538, 0.2828945517539978, 0.29006820917129517, 0.23775756359100342, 0.2598724961280823, 0.2964980900287628, 0.2841479480266571, 0.2651214897632599, 0.2536781132221222, 0.28778842091560364, 0.30141544342041016, 0.27351030707359314, 0.2874738574028015, 0.2898736596107483, 0.28817179799079895, 0.2280110865831375, 0.2676067352294922, 0.27450281381607056, 0.2585178017616272, 0.2808224558830261, 0.2680724859237671, 0.2840825021266937, 0.28234121203422546, 0.26061323285102844, 0.2734138071537018, 0.27141714096069336, 0.30385926365852356, 0.2932012975215912, 0.25689175724983215, 0.7368320822715759, 0.74722820520401, 0.2899653911590576, 0.37057650089263916, 0.25496912002563477, 0.284646213054657, 0.28883957862854004, 0.4545401632785797, 0.2800891399383545, 0.27957043051719666, 0.2773208022117615, 0.26092836260795593, 0.2875956892967224, 0.2532462179660797, 0.22234466671943665, 0.27556145191192627, 0.2811341881752014]","[29, 30, 31, 32, 33, 152, 261, 323, 363, 364, 366, 396, 398, 535, 539, 540, 541, 602, 612, 613, 618, 619, 620, 686, 825, 826, 832, 838, 1186, 1943, 1947, 2012, 2015, 2051, 2151, 2189, 2190, 2191, 2216, 2472, 2656, 3021, 3170, 3221, 3224, 3225, 3245, 3246, 3289, 3304, 3362, 3375, 3380, 3381, 3382, 3383, 3388, 3389, 3392, 3395, 3396, 3399, 3648, 3667, 3668, 3671, 3675, 3676, 3678, 3679, 3680, 3681, 3682, 3714, 4450, 4683, 4856, 4861, 5022, 5181, 5205, 5865, 5907, 6034, 6176, 6177, 6178, 6504, 6508, 6905]","[0.24096310138702393, 0.2391132116317749, 0.2378845363855362, 0.23895491659641266, 0.7786796689033508, 0.23919598758220673, 0.23669667541980743, 0.24363157153129578, 0.24305810034275055, 0.2361508458852768, 0.23624196648597717, 0.23357383906841278, 0.24322111904621124, 0.2322673350572586, 0.24004116654396057, 0.23737844824790955, 0.23823031783103943, 0.2384881228208542, 0.2415611445903778, 0.22772051393985748, 0.23443517088890076, 0.23656664788722992, 0.23377957940101624, 0.23783063888549805, 0.24043315649032593, 0.23453977704048157, 0.24148163199424744, 0.23628361523151398, 0.24061591923236847, 0.23709224164485931, 0.23616565763950348, 0.23075056076049805, 0.23559875786304474, 0.24314072728157043, 0.2344706803560257, 0.23785817623138428, 0.23890872299671173, 0.24383282661437988, 0.2387775331735611, 0.2327485829591751, 0.23927775025367737, 0.23928335309028625, 0.23704032599925995, 0.23897545039653778, 0.2378453016281128, 0.23963864147663116, 0.690746545791626, 0.23842407763004303, 0.33542829751968384, 0.24487662315368652, 0.23435372114181519, 0.23869594931602478, 0.23491305112838745, 0.23915934562683105, 0.6306757926940918, 0.22357439994812012, 0.2365736961364746, 0.2351907342672348, 0.23273460566997528, 0.7285212874412537, 0.23837551474571228, 0.23448117077350616, 0.229627788066864, 0.23693890869617462, 0.7198585271835327, 0.2367849051952362, 0.7256577014923096, 0.7838494777679443, 0.7590347528457642, 0.23715852200984955, 0.2366851419210434, 0.23743128776550293, 0.23411117494106293, 0.23099158704280853, 0.7581494450569153, 0.23593345284461975, 0.7061548829078674, 0.24000948667526245, 0.753483235836029, 0.7683413624763489, 0.7759417295455933, 0.23141120374202728, 0.22831492125988007, 0.24578307569026947, 0.23440849781036377, 0.23430389165878296, 0.23414157330989838, 0.23503832519054413, 0.2332478016614914, 0.22609004378318787]"
17,[17],[0.42078688740730286],[],[]
18,[18],[0.3557002544403076],[],[]
19,"[19, 742, 1160]","[0.27344152331352234, 0.6470150947570801, 0.3019007742404938]","[34, 35, 1608, 2312]","[0.7776195406913757, 0.7893829345703125, 0.7359462380409241, 0.7444055080413818]"
20,"[20, 64, 99, 123, 146, 161, 164, 621, 1137, 1257, 1362, 1363, 1415, 1493, 1495, 1498, 1722, 1749, 1772, 1775, 1836, 1993, 2310, 2896, 3367, 3779, 3781, 3802]","[0.2549111545085907, 0.29906246066093445, 0.3432427942752838, 0.2437942773103714, 0.2655448913574219, 0.27378180623054504, 0.6968033909797668, 0.7378661632537842, 0.27015364170074463, 0.3088250458240509, 0.3028893768787384, 0.24440447986125946, 0.2997697591781616, 0.2657090127468109, 0.3191314935684204, 0.3024952709674835, 0.7375060319900513, 0.27949026226997375, 0.28589102625846863, 0.25374555587768555, 0.2788400948047638, 0.27455320954322815, 0.23214870691299438, 0.2809143364429474, 0.2961943745613098, 0.32156670093536377, 0.27326300740242004, 0.3264591693878174]","[36, 37, 38, 39, 143, 144, 239, 290, 309, 351, 435, 446, 447, 1434, 1435, 2290, 2475, 2665, 2687, 2840, 3067, 3071, 3074, 3094, 3101, 3461, 3462, 3526, 3551, 3556, 3738, 4097, 4946, 5933, 6511, 6856, 6859, 6875]","[0.22577133774757385, 0.22240175306797028, 0.2276211977005005, 0.22433888912200928, 0.21886608004570007, 0.22081933915615082, 0.7728096842765808, 0.22713492810726166, 0.22386819124221802, 0.2759273648262024, 0.2238190621137619, 0.7726168036460876, 0.22163867950439453, 0.7727529406547546, 0.7593750357627869, 0.2314712256193161, 0.7828524112701416, 0.22635506093502045, 0.2267262488603592, 0.2553343176841736, 0.22340527176856995, 0.748178243637085, 0.22212214767932892, 0.779779851436615, 0.22570504248142242, 0.7487435340881348, 0.7768326997756958, 0.23583263158798218, 0.22427591681480408, 0.22252154350280762, 0.2256556749343872, 0.21999958157539368, 0.23227858543395996, 0.2361079305410385, 0.7791580557823181, 0.7693184614181519, 0.23926790058612823, 0.7756831049919128]"
21,"[21, 3731]","[0.6366700530052185, 0.6417397856712341]","[40, 6808]","[0.7607443332672119, 0.7354112267494202]"
22,[22],[0.4150962829589844],[],[]
23,"[23, 123, 324, 998, 1118, 2823]","[0.2836594581604004, 0.2885911166667938, 0.2781004309654236, 0.27243441343307495, 0.2524615526199341, 0.7247765064239502]","[41, 42, 286, 817, 2004, 2246, 5860]","[0.7736285924911499, 0.7800013422966003, 0.7930793166160583, 0.20931343734264374, 0.23774553835391998, 0.7706855535507202, 0.7573788166046143]"
24,"[24, 42, 161, 163, 515, 550, 895, 1062, 1063, 1843, 1888, 2375, 2556, 3335, 3593]","[0.7104608416557312, 0.28474563360214233, 0.271987646818161, 0.2979976534843445, 0.2709769010543823, 0.27621451020240784, 0.2600032091140747, 0.250706285238266, 0.2823597490787506, 0.3123840093612671, 0.2612990140914917, 0.2944032549858093, 0.2937754988670349, 0.7522534132003784, 0.2785867154598236]","[43, 44, 82, 83, 440, 442, 1213, 1305, 1829, 2171, 2176, 3756, 3848, 5098, 5455, 6486, 6487, 6683]","[0.7885313034057617, 0.7569265365600586, 0.21843354403972626, 0.7910309433937073, 0.2201421856880188, 0.21823875606060028, 0.7924073934555054, 0.21691077947616577, 0.23588116466999054, 0.79505854845047, 0.2210523635149002, 0.21853266656398773, 0.21262091398239136, 0.21520066261291504, 0.21825872361660004, 0.7568203806877136, 0.7862799763679504, 0.2159583419561386]"
25,"[25, 1344]","[0.2642906904220581, 0.28325149416923523]","[45, 2599]","[0.7806710004806519, 0.7514497637748718]"
26,"[26, 1081]","[0.3776034116744995, 0.25585007667541504]","[46, 2209]","[0.7657487988471985, 0.745495617389679]"
27,[27],[0.5017112493515015],[],[]
28,"[14, 28, 63, 123, 141, 154, 157, 160, 166, 194, 400, 550, 703, 974, 1014, 1015, 1209, 1274, 1297, 1362, 1392, 1396, 1432, 1437, 1502, 1510, 1511, 1512, 1660, 1671, 1783, 1806, 1821, 1822, 1901, 1902, 1991, 1995, 2044, 2067, 2101, 2249, 2316, 2401, 2476, 2580, 2610, 2686, 2687, 2696, 2768, 3060, 3152, 3202, 3206, 3514]","[0.27623412013053894, 0.7484545707702637, 0.3162480890750885, 0.2670895755290985, 0.2707521319389343, 0.30292192101478577, 0.26293137669563293, 0.26870203018188477, 0.2615448534488678, 0.23688527941703796, 0.2725594639778137, 0.2688148021697998, 0.2771521508693695, 0.25402191281318665, 0.24394957721233368, 0.2772747278213501, 0.2726428508758545, 0.2733437716960907, 0.7483877539634705, 0.3025951385498047, 0.5189093351364136, 0.2493208646774292, 0.7597312331199646, 0.3233601450920105, 0.299003541469574, 0.2901970446109772, 0.2527110278606415, 0.27256909012794495, 0.26905426383018494, 0.25358468294143677, 0.2675633728504181, 0.6021544933319092, 0.2615416347980499, 0.26868337392807007, 0.2715037763118744, 0.26225510239601135, 0.273153156042099, 0.24595193564891815, 0.2632578909397125, 0.27640071511268616, 0.2868102490901947, 0.3712715804576874, 0.7387182116508484, 0.7433260083198547, 0.24885185062885284, 0.2901662588119507, 0.2527403235435486, 0.2791403830051422, 0.2934754490852356, 0.26777732372283936, 0.2789733409881592, 0.2794052064418793, 0.27189138531684875, 0.2657191753387451, 0.27524280548095703, 0.29136306047439575]","[26, 47, 48, 49, 50, 51, 134, 285, 337, 386, 405, 424, 452, 525, 1011, 1304, 1542, 1923, 2048, 2077, 2093, 2399, 2486, 2515, 2518, 2519, 2646, 2752, 2769, 2879, 2881, 2882, 2887, 3105, 3122, 3124, 3126, 3351, 3371, 3580, 3642, 3689, 3695, 3862, 3867, 4095, 4100, 4237, 4287, 4410, 4734, 4961, 4962, 4963, 4964, 4965, 5136, 5137, 5138, 5139, 5340, 5498, 5547, 5658, 5669, 5677, 5786, 6124, 6246, 6332, 6344, 6609]","[0.22788140177726746, 0.7510892152786255, 0.24571970105171204, 0.788244903087616, 0.23312267661094666, 0.7597007155418396, 0.2330177128314972, 0.2330826222896576, 0.23465603590011597, 0.23209461569786072, 0.23303042352199554, 0.23580366373062134, 0.24178346991539001, 0.2460704892873764, 0.24063000082969666, 0.23864102363586426, 0.23805856704711914, 0.23543332517147064, 0.2419867217540741, 0.4495668411254883, 0.23394706845283508, 0.23361629247665405, 0.23683947324752808, 0.7684643864631653, 0.23524866998195648, 0.7397164702415466, 0.2341228872537613, 0.7516767382621765, 0.22578994929790497, 0.7624963521957397, 0.7274293899536133, 0.23174819350242615, 0.23386618494987488, 0.24030226469039917, 0.23870325088500977, 0.23819270730018616, 0.26413416862487793, 0.24425625801086426, 0.23144353926181793, 0.2379029095172882, 0.7603636980056763, 0.235688254237175, 0.23227660357952118, 0.23791344463825226, 0.23207199573516846, 0.23757769167423248, 0.2356736660003662, 0.23677995800971985, 0.2336454689502716, 0.23052379488945007, 0.7524061799049377, 0.7306669354438782, 0.7786163091659546, 0.7603119015693665, 0.7591981887817383, 0.23565660417079926, 0.735095739364624, 0.7741091847419739, 0.7448063492774963, 0.7634798884391785, 0.2358258068561554, 0.23887288570404053, 0.23749184608459473, 0.23576298356056213, 0.2398294061422348, 0.25753653049468994, 0.22788041830062866, 0.23185870051383972, 0.24378718435764313, 0.24001388251781464, 0.2345806509256363, 0.23890602588653564]"
29,"[29, 1162, 1537, 2183, 2811]","[0.40690886974334717, 0.6830354332923889, 0.6786105632781982, 0.2411576807498932, 0.27478402853012085]","[52, 53, 54, 2313, 3187, 4575, 5842]","[0.7840697169303894, 0.7718306183815002, 0.7716474533081055, 0.7390025854110718, 0.7310011386871338, 0.7642567157745361, 0.21567383408546448]"
30,"[30, 168, 215, 1571, 1573, 1574, 1723]","[0.3105308711528778, 0.27746450901031494, 0.7228511571884155, 0.2733207046985626, 0.27609583735466003, 0.3057166635990143, 0.24935376644134521]","[55, 56, 461, 586, 3267, 3271, 3273, 3466]","[0.2137945294380188, 0.7871871590614319, 0.7745343446731567, 0.7417776584625244, 0.2135644257068634, 0.7907575368881226, 0.2201034426689148, 0.21157991886138916]"
31,[31],[0.36025139689445496],[],[]
32,"[32, 422, 1708, 1709, 2662, 3562]","[0.6723506450653076, 0.30420589447021484, 0.30473756790161133, 0.690610945224762, 0.2518770694732666, 0.2695702016353607]","[57, 58, 1071, 1072, 3428, 3431, 3433, 3436, 5614, 6654, 6655]","[0.7796294093132019, 0.7855327129364014, 0.20980001986026764, 0.795231282711029, 0.21361230313777924, 0.755001425743103, 0.7616515755653381, 0.7449329495429993, 0.21738488972187042, 0.227271169424057, 0.22807221114635468]"
33,[33],[0.3095530867576599],[],[]
34,"[34, 2026]","[0.27828896045684814, 0.6924133896827698]","[59, 4208]","[0.7798147201538086, 0.7361584305763245]"
35,"[35, 1463, 2438]","[0.7162362337112427, 0.5113703608512878, 0.2915758788585663]","[60, 2977, 5265]","[0.7562153339385986, 0.7342676520347595, 0.7822180390357971]"
36,"[36, 94, 241, 248, 251, 318, 329, 383, 384, 414, 482, 602, 623, 729, 758, 797, 959, 1042, 1076, 1204, 1246, 1383, 1488, 1983, 2295, 2666, 2935, 2998, 3218, 3268, 3327, 3471, 3609, 3685]","[0.7513786554336548, 0.3017295300960541, 0.27113792300224304, 0.23967495560646057, 0.25298741459846497, 0.2798739969730377, 0.2824587821960449, 0.27444136142730713, 0.23522819578647614, 0.2853507697582245, 0.28350651264190674, 0.2711288332939148, 0.252603679895401, 0.2814452350139618, 0.2588484585285187, 0.2726331055164337, 0.2647607624530792, 0.28064608573913574, 0.2851123809814453, 0.2625423073768616, 0.23974959552288055, 0.26528871059417725, 0.27958595752716064, 0.3056959807872772, 0.269410640001297, 0.2888520061969757, 0.24845099449157715, 0.2971923053264618, 0.284645140171051, 0.7646587491035461, 0.2897442877292633, 0.3602771461009979, 0.2718491554260254, 0.6415584683418274]","[61, 62, 63, 64, 65, 230, 641, 660, 675, 797, 855, 951, 966, 1052, 1178, 1404, 1438, 1592, 1631, 1697, 1891, 2125, 2205, 2386, 2458, 2734, 3054, 4071, 4859, 5619, 5989, 6076, 6355, 6415, 6481, 6557, 6700, 6758]","[0.774344265460968, 0.7683125138282776, 0.7833365201950073, 0.7819632887840271, 0.7883543968200684, 0.24005068838596344, 0.2237052321434021, 0.2234172523021698, 0.28196102380752563, 0.23204948008060455, 0.22304090857505798, 0.29070115089416504, 0.22796691954135895, 0.225698783993721, 0.7444733381271362, 0.21535208821296692, 0.22108478844165802, 0.22650793194770813, 0.2762147784233093, 0.7740199565887451, 0.21857309341430664, 0.2231336534023285, 0.7981770038604736, 0.23096728324890137, 0.22442346811294556, 0.24119168519973755, 0.22399793565273285, 0.7874042391777039, 0.2254074513912201, 0.7855732440948486, 0.7821000218391418, 0.7801697850227356, 0.26699990034103394, 0.7574722766876221, 0.7674517631530762, 0.7628465890884399, 0.23327191174030304, 0.7316371202468872]"
37,[37],[0.5414737462997437],[],[]
38,"[38, 1962, 1963, 2139, 2523, 2617, 3490, 3985]","[0.7098345756530762, 0.258854478597641, 0.7404168844223022, 0.2667827308177948, 0.2916982173919678, 0.2985062301158905, 0.3140096664428711, 0.28428518772125244]","[66, 4013, 4018, 4457, 5417, 5554, 6582, 7017]","[0.7773972749710083, 0.7701767683029175, 0.7397480010986328, 0.7814025282859802, 0.7788019180297852, 0.7889732122421265, 0.7817773222923279, 0.7656441330909729]"
39,[39],[0.3035331666469574],[],[]
